"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","16","64","4.0","14","0","1","5","12","35","7.0","1","0","1","26.4","26.4","99.9%"
"2","Rashaad Penny (SEA)","23","190","8.3","62","0","1","0","0","0","0","0","0","1","25.0","25.0","89.4%"
"3","James Conner (ARI)","15","52","3.5","19","0","1","6","6","41","6.8","1","0","1","24.3","24.3","98.6%"
"4","Devin Singletary (BUF)","19","88","4.6","40","0","1","2","2","24","12.0","1","0","1","24.2","24.2","92.4%"
"5","Antonio Gibson (WAS)","21","146","7.0","27","0","1","1","3","5","5.0","0","0","1","21.6","21.6","97.9%"
"6","Josh Jacobs (LV)","26","132","5.1","28","0","1","2","2","12","6.0","0","0","1","21.4","21.4","97.3%"
"7","Latavius Murray (FA)","16","150","9.4","46","0","1","0","0","0","0","0","0","1","21.0","21.0","0.7%"
"8","D'Ernest Johnson (CLE)","25","123","4.9","13","0","1","1","1","10","10.0","0","0","1","19.8","19.8","4.3%"
"9","Brandon Bolden (LV)","7","46","6.6","19","0","1","2","2","20","10.0","1","0","1","19.6","19.6","0.7%"
"10","Duke Johnson Jr. (BUF)","25","117","4.7","27","0","1","1","1","5","5.0","0","0","1","18.7","18.7","0.9%"
"11","Alvin Kamara (NO)","30","146","4.9","27","0","0","2","2","16","8.0","0","0","1","17.2","17.2","99.9%"
"12","Kenneth Gainwell (PHI)","12","78","6.5","18","0","1","4","7","9","2.3","0","0","1","16.7","16.7","22.3%"
"13","Melvin Gordon III (DEN)","12","110","9.2","47","0","1","1","2","6","6.0","0","1","1","16.1","16.1","88.3%"
"14","Corey Clement (FA)","7","58","8.3","38","0","0","4","4","22","5.5","1","0","1","16.0","16.0","1.0%"
"15","Damien Harris (NE)","11","37","3.4","7","0","1","4","4","36","9.0","0","0","1","15.3","15.3","92.5%"
"16","Chris Evans (CIN)","7","35","5.0","12","0","0","4","5","24","6.0","1","0","1","13.9","13.9","1.7%"
"17","Ameer Abdullah (LV)","7","26","3.7","10","0","0","9","11","56","6.2","0","0","1","12.7","12.7","0.8%"
"18","D'Andre Swift (DET)","7","30","4.3","14","0","1","4","5","16","4.0","0","0","1","12.6","12.6","99.7%"
"19","Chuba Hubbard (CAR)","9","48","5.3","19","0","0","2","2","8","4.0","1","0","1","12.6","12.6","8.6%"
"20","Patrick Taylor Jr. (GB)","11","53","4.8","12","0","1","2","2","3","1.5","0","0","1","12.6","12.6","0.1%"
"21","Jerick McKinnon (KC)","5","24","4.8","7","0","0","3","3","26","8.7","1","0","1","12.5","12.5","3.3%"
"22","Ke'Shawn Vaughn (TB)","10","29","2.9","9","0","1","2","2","12","6.0","0","0","1","11.1","11.1","2.1%"
"23","Jonathan Taylor (IND)","15","77","5.1","23","0","0","3","4","18","6.0","0","0","1","11.0","11.0","100.0%"
"24","Damien Williams (ATL)","0","0","0","0","0","0","3","5","33","11.0","1","0","1","10.8","10.8","2.0%"
"25","Ezekiel Elliott (DAL)","18","87","4.8","26","0","0","1","3","3","3.0","0","0","1","9.5","9.5","97.6%"
"26","Demetric Felton Jr. (CLE)","1","6","6.0","6","0","0","2","2","18","9.0","1","0","1","9.4","9.4","0.6%"
"27","David Montgomery (CHI)","20","72","3.6","11","0","0","2","3","7","3.5","0","0","1","8.9","8.9","98.0%"
"28","D'Onta Foreman (CAR)","21","69","3.3","16","0","0","1","2","15","15.0","0","0","1","8.9","8.9","12.5%"
"29","Dalvin Cook (MIN)","14","79","5.6","29","0","0","1","1","3","3.0","0","0","1","8.7","8.7","99.9%"
"30","JaQuan Hardy (DAL)","3","26","8.7","22","0","1","0","0","0","0","0","0","1","8.6","8.6","0.1%"
"31","Elijah Mitchell (SF)","21","85","4.0","13","0","0","0","0","0","0","0","0","1","8.5","8.5","94.5%"
"32","Rex Burkhead (HOU)","12","24","2.0","6","0","0","3","4","42","14.0","0","0","1","8.1","8.1","3.8%"
"33","Le'Veon Bell (FA)","3","14","4.7","7","0","0","1","1","1","1.0","1","0","1","8.0","8.0","0.2%"
"34","Qadree Ollison (ATL)","1","19","19.0","19","0","1","0","1","0","0","0","0","1","7.9","7.9","0.0%"
"35","Eno Benjamin (ARI)","7","31","4.4","10","0","0","4","4","25","6.3","0","0","1","7.6","7.6","2.1%"
"36","Najee Harris (PIT)","11","28","2.5","15","0","0","4","4","27","6.8","0","0","1","7.5","7.5","99.9%"
"37","Javonte Williams (DEN)","12","46","3.8","15","0","0","2","2","18","9.0","0","0","1","7.4","7.4","99.5%"
"38","Ryquell Armstead (JAC)","9","52","5.8","26","0","0","2","2","10","5.0","0","0","1","7.2","7.2","0.1%"
"39","AJ Dillon (GB)","14","63","4.5","9","0","0","1","1","4","4.0","0","0","1","7.2","7.2","91.7%"
"40","Dare Ogunbowale (HOU)","11","30","2.7","12","0","0","3","6","25","8.3","0","0","1","7.0","7.0","0.4%"
"41","Nick Chubb (CLE)","9","58","6.4","35","0","0","1","1","2","2.0","0","0","1","6.5","6.5","99.6%"
"42","Saquon Barkley (NYG)","11","30","2.7","6","0","0","3","4","19","6.3","0","0","1","6.4","6.4","98.8%"
"43","Ito Smith (FA)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"44","Dontrell Hilliard (TEN)","9","57","6.3","16","0","0","1","1","1","1.0","0","0","1","6.3","6.3","2.3%"
"45","Darrel Williams (ARI)","7","17","2.4","5","0","0","3","4","30","10.0","0","0","1","6.2","6.2","22.3%"
"46","Jamaal Williams (DET)","13","43","3.3","9","0","0","1","1","9","9.0","0","0","1","5.7","5.7","27.1%"
"47","Sony Michel (MIA)","21","43","2.0","14","0","0","1","4","6","6.0","0","0","1","5.4","5.4","18.0%"
"48","David Johnson (FA)","5","28","5.6","15","0","0","3","4","8","2.7","0","0","1","5.1","5.1","1.3%"
"49","Jason Huntley (PHI)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.1%"
"50","Trayveon Williams (CIN)","9","38","4.2","10","0","0","1","2","4","4.0","0","0","1","4.7","4.7","0.1%"
"51","Jaret Patterson (WAS)","6","21","3.5","7","0","0","2","2","14","7.0","0","0","1","4.5","4.5","1.3%"
"52","Jonathan Williams (WAS)","7","45","6.4","23","0","0","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"53","Rhamondre Stevenson (NE)","4","34","8.5","12","0","0","1","2","2","2.0","0","0","1","4.1","4.1","83.2%"
"54","Phillip Lindsay (IND)","11","40","3.6","7","0","0","0","0","0","0","0","0","1","4.0","4.0","1.3%"
"55","Jalen Richard (FA)","2","24","12.0","23","0","0","2","2","3","1.5","0","0","1","3.7","3.7","0.6%"
"56","Devonta Freeman (FA)","5","21","4.2","22","0","0","2","2","6","3.0","0","0","1","3.7","3.7","0.7%"
"57","Devontae Booker (FA)","8","14","1.8","6","0","0","2","2","12","6.0","0","0","1","3.6","3.6","0.7%"
"58","JaMycal Hasty (SF)","1","4","4.0","4","0","0","2","3","21","10.5","0","0","1","3.5","3.5","0.7%"
"59","Travis Homer (SEA)","1","4","4.0","4","0","0","1","3","23","23.0","0","0","1","3.2","3.2","0.1%"
"60","Derrick Gore (KC)","7","30","4.3","6","0","0","0","1","0","0","0","0","1","3.0","3.0","0.7%"
"61","Nyheim Hines (IND)","0","0","0","0","0","0","2","3","19","9.5","0","0","1","2.9","2.9","52.2%"
"62","Cam Akers (LAR)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","1","2.8","2.8","98.6%"
"63","Alexander Mattison (MIN)","5","18","3.6","9","0","0","1","1","3","3.0","0","0","1","2.6","2.6","56.4%"
"64","Myles Gaskin (MIA)","1","-1","-1.0","0","0","0","3","3","11","3.7","0","0","1","2.5","2.5","7.4%"
"65","Zack Moss (BUF)","5","8","1.6","5","0","0","2","2","6","3.0","0","0","1","2.4","2.4","3.1%"
"66","Tony Jones Jr. (NO)","7","22","3.1","6","0","0","0","1","0","0","0","0","1","2.2","2.2","0.8%"
"67","Benny Snell Jr. (PIT)","12","22","1.8","9","0","0","0","0","0","0","0","0","1","2.2","2.2","1.0%"
"68","Justin Jackson (FA)","3","20","6.7","11","0","0","0","1","0","0","0","0","1","2.0","2.0","1.7%"
"69","Michael Carter (NYJ)","9","19","2.1","10","0","0","0","3","0","0","0","0","1","1.9","1.9","86.2%"
"70","Cordarrelle Patterson (ATL)","4","11","2.8","4","0","0","1","1","1","1.0","0","0","1","1.7","1.7","92.0%"
"71","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","1.2","1.2","0.1%"
"72","Khalil Herbert (CHI)","4","11","2.8","4","0","0","0","0","0","0","0","0","1","1.1","1.1","15.3%"
"73","Khari Blasingame (CHI)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","1.0","1.0","0.0%"
"74","Adam Prentice (NO)","1","1","1.0","1","0","0","1","1","2","2.0","0","0","1","0.8","0.8","0.0%"
"75","Keith Smith (ATL)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.8","0.8","0.0%"
"76","Jonathan Ward (ARI)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.7","0.7","0.1%"
"77","Tevin Coleman (NYJ)","5","6","1.2","5","0","0","0","1","0","0","0","0","1","0.6","0.6","0.8%"
"78","Ty Montgomery (NE)","0","0","0","0","0","0","1","2","1","1.0","0","0","1","0.6","0.6","0.1%"
"79","Ty'Son Williams (IND)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.2%"
"80","Kene Nwangwu (MIN)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","1.3%"
"81","Mike Davis (BAL)","6","30","5.0","9","0","0","3","3","-2","-0.7","0","2","1","0.3","0.3","2.6%"
"82","Mekhi Sargent (JAC)","1","2","2.0","2","0","0","0","1","0","0","0","0","1","0.2","0.2","0.0%"
"83","Craig Reynolds (DET)","3","2","0.7","6","0","0","0","0","0","0","0","0","1","0.2","0.2","0.8%"
"84","DeeJay Dallas (SEA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.8%"
"85","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"89","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","CJ Verdell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Raheem Blackshear (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Deon Jackson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"96","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3%"
"97","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"98","Elijah Holyfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Miles Sanders (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.6%"
"100","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"101","Darwin Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"102","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.1%"
"105","Alec Ingold (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Mike Boone (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"108","Ryan Nall (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Gus Edwards (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.6%"
"110","Buddy Howell (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Boston Scott (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8%"
"112","Nick Bawden (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Jeff Wilson Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.1%"
"115","Reggie Bonnafon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"117","Larry Rountree III (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"118","Darius Bradwell (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"120","Darius Anderson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"122","Joshua Kelley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"123","J.J. Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"124","Antonio Williams (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"125","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
